14263 12841 12346 10092 7938 6966 7293 18056 9527 17779 12116 19511 5935 4376 62 2685 1495 22439 17506 21127 14457 12150 5372 9654 5089 10830 4954 18652 11688 21843 20008 13895 7545 20277 19211 17137 14868 13821 4995 11996 20182 7094 11843 8967 5340 16412 5566 10887
16771 2294 18191 19785 16639 1249 2283 3957 15368 490 9309 4008 10257 3819 15651 18089 10424 18333 22514 1283 12384 7898 9817 3516 22220 22580 1356 14621 20493 16442 7385 254 21737 4378 13550 15742 23096 14819 12887 10725 19970 16459 7744 13274 5039 21089 22499 8212
4603 2764 19003 21083 21255 6011 3577 4181 19051 17305 4571 4801 6976 21808 12209 18991 1596 14322 23375 18930 1372 6158 22164 13919 5840 4585 13448 15907 20820 12362 14331 13243 5568 2758 7520 5879 23009 3251 580 7477 15085 21915 14786 14732 6379 10180 13283 12523
20990 7029 17073 5803 22152 1526 10962 16482 6890 7858 8122 21459 10972 15285 12326 21412 14106 13642 15580 13105 17608 21854 11092 11925 9849 20059 9074 8979 6613 5400 17629 3044 17589 6335 22685 2072 2592 21416 1545 20921 5182 759 14702 4039 13141 12288 5353 10089
20964 20149 11248 14525 5378 5996 11899 2356 11897 212 12993 21996 20718 6425 21926 304 7198 13042 18986 21872 9898 8080 23061 3859 22377 3496 3211 10595 20081 19041 17928 8060 16233 3252 21425 13979 7948 8659 2367 12933 21923 16873 14429 16159 2253 16331 6135 7551
3756 5266 1695 7878 23449 19509 10421 4773 22994 19903 4814 2179 5475 21219 15705 16621 8082 16151 15505 16320 21796 15085 2155 8269 11538 14975 13175 13128 2094 6873 13138 205 4542 8182 14424 19824 1449 4665 9633 184 8301 22474 13988 20443 6002 23314 1640 10400
52 18154 6672 22602 4388 11647 13953 9987 21786 8102 22617 883 16045 6248 18090 14898 13549 21750 15053 22215 20326 17499 15819 14641 14845 4727 1620 14772 17768 12462 16921 22471 13801 10125 19756 18825 21320 2719 16549 1444 14758 6386 16404 17646 15758 23094 3 3952
7001 22407 21063 12630 11846 13947 2653 13700 13893 1032 15945 1908 6383 23424 6639 483 8375 18793 21001 16526 4338 598 12818 22217 14305 14410 18730 6653 1633 21636 663 23371 3659 650 19799 4952 17222 19695 20364 21027 12504 13605 8071 16988 13051 12237 23131 7108
18898 14694 7169 7171 5505 5542 23387 17443 19142 17323 8740 20845 5342 21435 17534 18662 18029 9504 23505 805 8405 1469 2165 5630 11706 21680 15378 16850 1456 161 10949 4267 945 21413 20886 7428 2453 17936 13401 2528 10331 6092 23193 16769 10824 4558 12832 8521
5524 21883 10747 7720 5012 2425 3039 2345 3180 22595 5654 16947 20256 8241 5774 20347 7819 15447 1282 5552 11349 18809 22245 13412 16514 15868 10731 20538 6566 18012 1724 14518 8959 15813 8405 3765 15415 7408 9623 5111 18080 19216 913 12867 1927 7452 10305 5708
4052 5601 20876 3457 21532 7780 1671 402 20361 9398 1107 8830 7680 11346 19048 14297 5111 5414 6900 17857 12607 15785 19118 20755 20457 5960 2383 1751 15986 7679 15030 2201 1072 3233 8551 18331 16752 20951 13882 2819 11760 19272 19590 17775 10732 3438 15665 18140
12770 12526 10399 15170 12153 15491 9797 18054 6071 897 13444 13543 17725 8465 21682 1053 13737 23536 22345 12108 5036 18543 6766 14685 5822 11799 6196 11380 10870 11849 14834 6165 22218 10936 22708 22743 6473 17473 17715 6005 5256 13929 19512 15148 9090 5114 8857 4319
20858 9731 22745 1186 21531 2834 14565 4855 7477 1615 16743 1394 6599 15475 1830 6176 5530 7777 17519 19957 20235 4597 11910 14746 2416 15154 7728 6381 20029 18961 15980 737 11223 17193 4293 6484 22835 20998 3370 13857 9078 3562 2450 2887 4760 21624 20457 9330
124 5207 17640 6875 14828 9675 3123 4506 3926 7852 18468 7772 1881 8846 7989 23355 2740 15029 22747 11870 11009 15974 4548 3180 22764 21894 20948 17765 21911 23068 18023 13784 6332 20321 17923 17138 8638 3421 16760 2483 6466 14843 14132 11054 4079 10086 11202 12565
